<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;;;
SPFB.RTS-12.18;1;14.09.2018;13:32;107640,00;107750,00;107610,00;107690,00;81;;;
SPFB.RTS-12.18;1;14.09.2018;13:33;107740,00;108100,00;107740,00;108090,00;164;;;
SPFB.RTS-12.18;1;14.09.2018;13:34;108060,00;108370,00;108060,00;108120,00;530;;;
SPFB.RTS-12.18;1;14.09.2018;13:35;108100,00;108120,00;107980,00;108120,00;95;;;
SPFB.RTS-12.18;1;14.09.2018;13:36;108120,00;108210,00;108120,00;108210,00;57;;;
SPFB.RTS-12.18;1;14.09.2018;13:37;108240,00;108330,00;108080,00;108080,00;138;;;
SPFB.RTS-12.18;1;14.09.2018;13:38;108080,00;108160,00;108070,00;108160,00;81;;;
SPFB.RTS-12.18;1;14.09.2018;13:39;108140,00;108280,00;108140,00;108280,00;114;;;
SPFB.RTS-12.18;1;14.09.2018;13:40;108300,00;108400,00;108270,00;108330,00;211;;;
SPFB.RTS-12.18;1;14.09.2018;13:41;108330,00;108330,00;108200,00;108270,00;113;;;
SPFB.RTS-12.18;1;14.09.2018;13:42;108170,00;108170,00;108150,00;108150,00;16;;;
SPFB.RTS-12.18;1;14.09.2018;13:43;108200,00;108210,00;108160,00;108210,00;24;;;
SPFB.RTS-12.18;1;14.09.2018;13:44;108210,00;108280,00;108210,00;108280,00;50;;;
SPFB.RTS-12.18;1;14.09.2018;13:45;108250,00;108420,00;108250,00;108400,00;69;;;
SPFB.RTS-12.18;1;14.09.2018;13:46;108400,00;108440,00;108370,00;108380,00;234;;;
SPFB.RTS-12.18;1;14.09.2018;13:47;108320,00;108360,00;108270,00;108280,00;34;;;
SPFB.RTS-12.18;1;14.09.2018;13:48;108290,00;108350,00;108290,00;108320,00;12;;;
SPFB.RTS-12.18;1;14.09.2018;13:49;108290,00;108440,00;108260,00;108270,00;171;;;
SPFB.RTS-12.18;1;14.09.2018;13:50;108270,00;108390,00;108250,00;108300,00;248;;;
SPFB.RTS-12.18;1;14.09.2018;13:51;108300,00;108400,00;108280,00;108330,00;145;;;
SPFB.RTS-12.18;1;14.09.2018;13:52;108320,00;108350,00;108300,00;108300,00;14;;;
SPFB.RTS-12.18;1;14.09.2018;13:53;108280,00;108280,00;108210,00;108230,00;14;;;
SPFB.RTS-12.18;1;14.09.2018;13:54;108270,00;108270,00;108110,00;108120,00;55;;;
SPFB.RTS-12.18;1;14.09.2018;13:55;108080,00;108160,00;108060,00;108160,00;29;;;
SPFB.RTS-12.18;1;14.09.2018;13:56;108180,00;108180,00;108180,00;108180,00;1;;;
SPFB.RTS-12.18;1;14.09.2018;13:57;108210,00;108240,00;108210,00;108240,00;50;;;
SPFB.RTS-12.18;1;14.09.2018;13:58;108190,00;108190,00;108160,00;108160,00;11;;;
SPFB.RTS-12.18;1;14.09.2018;13:59;108260,00;108260,00;108260,00;108260,00;1;;;
SPFB.RTS-12.18;1;14.09.2018;14:00;108270,00;108310,00;108260,00;108310,00;19;;;
SPFB.RTS-12.18;1;14.09.2018;14:06;108320,00;108450,00;108320,00;108430,00;115;;;
SPFB.RTS-12.18;1;14.09.2018;14:07;108390,00;108390,00;108310,00;108310,00;31;;;
SPFB.RTS-12.18;1;14.09.2018;14:08;108280,00;108310,00;108280,00;108280,00;9;;;
SPFB.RTS-12.18;1;14.09.2018;14:09;108280,00;108330,00;108220,00;108220,00;15;;;
SPFB.RTS-12.18;1;14.09.2018;14:10;108230,00;108250,00;108230,00;108240,00;10;;;
SPFB.RTS-12.18;1;14.09.2018;14:11;108250,00;108250,00;108160,00;108160,00;29;;;
SPFB.RTS-12.18;1;14.09.2018;14:12;108180,00;108230,00;108180,00;108230,00;9;;;
SPFB.RTS-12.18;1;14.09.2018;14:13;108150,00;108190,00;108150,00;108190,00;8;;;
SPFB.RTS-12.18;1;14.09.2018;14:14;108200,00;108200,00;108190,00;108200,00;9;;;
SPFB.RTS-12.18;1;14.09.2018;14:15;108230,00;108270,00;108230,00;108270,00;18;;;
SPFB.RTS-12.18;1;14.09.2018;14:16;108250,00;108250,00;108180,00;108180,00;18;;;
SPFB.RTS-12.18;1;14.09.2018;14:17;108170,00;108200,00;108170,00;108180,00;5;;;
SPFB.RTS-12.18;1;14.09.2018;14:18;108240,00;108250,00;108240,00;108250,00;33;;;
SPFB.RTS-12.18;1;14.09.2018;14:19;108250,00;108250,00;108190,00;108190,00;3;;;
SPFB.RTS-12.18;1;14.09.2018;14:20;108170,00;108170,00;108130,00;108140,00;17;;;
SPFB.RTS-12.18;1;14.09.2018;14:21;108110,00;108140,00;108110,00;108110,00;16;;;
SPFB.RTS-12.18;1;14.09.2018;14:22;108100,00;108100,00;108050,00;108050,00;11;;;
SPFB.RTS-12.18;1;14.09.2018;14:23;108100,00;108100,00;108050,00;108050,00;16;;;
SPFB.RTS-12.18;1;14.09.2018;14:24;108030,00;108080,00;108020,00;108050,00;18;;;
SPFB.RTS-12.18;1;14.09.2018;14:25;108100,00;108110,00;108080,00;108080,00;16;;;
